scientific_name,common_name,family,combined_red_list,combined_span_min,combined_span_max,estimated_dry_mass,months_to_adult
Dypterygia scabriuscula,Bird's Wing,Noctuidae,LC,16.0,16.0,38.4,2
Trachea atriplicis,Orache Moth,Noctuidae,RE,20.0,22.0,62.0,2
Mormo maura,Old Lady,Noctuidae,LC,30.0,36.0,137.2,11
Polyphaenis sericata,Guernsey Underwing,Noctuidae,LC,17.0,20.0,49.6,8
Thalpophila matura,Straw Underwing,Noctuidae,LC,17.0,20.0,49.6,10
Hyppa rectilinea,Saxon,Noctuidae,VU,16.0,19.0,45.0,10
Actinotia polyodon,Purple Cloud,Noctuidae,LC,13.0,15.0,30.4,0
Chloantha hyperici,Pale-shouldered Cloud,Noctuidae,LC,12.0,16.0,30.4,0
Phlogophora meticulosa,Angle Shades,Noctuidae,LC,21.0,25.0,72.7,12
Euplexia lucipara,Small Angle Shades,Noctuidae,LC,14.0,17.0,36.3,3
Pseudenargia ulicis,Berber,Noctuidae,LC,17.0,19.0,47.3,0
Calamia tridens,Burren Green,Noctuidae,NT,17.0,18.0,45.0,3
Crypsedra gemmea,Cameo,Noctuidae,LC,17.0,20.0,49.6,0
Celaena haworthii,Haworth's Minor,Noctuidae,LC,10.0,14.0,23.2,4
Helotropha leucostigma,Crescent,Noctuidae,LC,14.0,17.0,36.3,5
Eremobia ochroleuca,Dusky Sallow,Noctuidae,LC,14.0,16.0,34.3,5
Gortyna flavago,Frosted Orange,Noctuidae,LC,16.0,19.0,45.0,5
Gortyna borelii,Fisher's Estuarine Moth,Noctuidae,NT,21.0,24.0,70.0,4
Hydraecia micacea,Rosy Rustic,Noctuidae,LC,14.0,21.0,45.0,5
Hydraecia petasitis,Butterbur,Noctuidae,LC,19.0,23.0,62.0,4
Hydraecia osseola,Marsh Mallow Moth ,Noctuidae,EN,18.0,20.0,52.0,4
Amphipoea fucosa,Saltern Ear,Noctuidae,LC,14.0,16.0,34.3,3
Amphipoea lucens,Large Ear,Noctuidae,LC,14.0,17.0,36.3,3
Amphipoea oculea,Ear Moth,Noctuidae,LC,12.0,15.0,28.5,3
Amphipoea crinanensis,Crinan Ear,Noctuidae,LC,13.0,15.0,30.4,3
Luperina dumerilii,Dumeril's Rustic,Noctuidae,LC,11.0,16.0,28.5,0
Luperina testacea,Flounced Rustic,Noctuidae,LC,14.0,18.0,38.4,10
Luperina nickerlii,Sandhill Rustic,Noctuidae,EN,15.0,18.0,40.6,11
Fabula zollikoferi,Scarce Arches,Noctuidae,LC,18.0,25.0,64.6,0
Rhizedra lutosa,Large Wainscot,Noctuidae,LC,16.0,23.0,54.4,4
Sedina buettneri,Blair's Wainscot,Noctuidae,EN,12.0,14.0,26.7,5
Nonagria typhae,Bulrush Wainscot,Noctuidae,LC,20.0,24.0,67.3,5
Arenostola phragmitidis,Fen Wainscot,Noctuidae,LC,14.0,16.0,34.3,3
Longalatedes elymi,Lyme Grass,Noctuidae,LC,15.0,18.0,40.6,11
Lenisa geminipuncta,Twin-spotted Wainscot,Noctuidae,VU,11.0,16.0,28.5,3
Archanara neurica,White-mantled Wainscot,Noctuidae,NT,12.0,13.0,24.9,3
Archanara dissoluta,Brown-veined Wainscot,Noctuidae,LC,12.0,15.0,28.5,4
Coenobia rufa,Small Rufous,Noctuidae,LC,10.0,12.0,19.9,11
Oria musculosa,Brighton Wainscot,Noctuidae,CR (PE),12.0,16.0,30.4,0
Denticucullus pygmina,Small Wainscot,Noctuidae,LC,10.0,14.0,23.2,9
Photedes fluxa,Mere Wainscot,Noctuidae,LC,12.0,15.0,28.5,11
Photedes captiuncula,Least Minor,Noctuidae,EN,7.0,9.0,11.4,11
Photedes minima,Small Dotted Buff,Noctuidae,LC,11.0,14.0,24.9,12
Photedes morrisii,Morris's Wainscot / Bond's Wainscot,Noctuidae,VU,12.0,14.0,26.7,10
Photedes extrema,Concolorous,Noctuidae,LC,11.0,13.0,23.2,12
Protarchanara brevilinea,Fenn's Wainscot,Noctuidae,NT,14.0,17.0,36.3,3
Globia sparganii,Webb's Wainscot,Noctuidae,VU,15.0,18.0,40.6,4
Globia algae,Rush Wainscot,Noctuidae,LC,14.0,18.0,38.4,4
Pabulatrix pabulatricula,Union Rustic,Noctuidae,RE,14.0,17.0,36.3,1
Apamea remissa,Dusky Brocade,Noctuidae,LC,17.0,19.0,47.3,9
Apamea epomidion,Clouded Brindle,Noctuidae,LC,17.0,20.0,49.6,8
Apamea crenata,Clouded-bordered Brindle,Noctuidae,LC,18.0,22.0,56.9,9
Apamea anceps,Large Nutmeg,Noctuidae,NT,16.0,21.0,49.6,9
Apamea sordens,Rustic Shoulder-knot,Noctuidae,LC,16.0,19.0,45.0,8
Apamea unanimis,Small Clouded Brindle,Noctuidae,LC,15.0,17.0,38.4,4
Apamea scolopacina,Slender Brindle,Noctuidae,LC,14.0,17.0,36.3,11
Apamea oblonga,Crescent Striped,Noctuidae,EN,18.0,21.0,54.4,10
Apamea monoglypha,Dark Arches,Noctuidae,LC,19.0,26.0,70.0,12
Apamea lithoxylaea,Light Arches,Noctuidae,LC,18.0,23.0,59.4,12
Apamea sublustris,Reddish Light Arches,Noctuidae,NT,18.0,21.0,54.4,0
Apamea furva,Confused,Noctuidae,LC,16.0,19.0,45.0,11
Apamea lateritia,Scarce Brindle,Noctuidae,LC,19.0,24.0,64.6,0
Apamea exulis,Northern Arches / Exile,Noctuidae,LC,17.0,20.0,54.4,11
Lateroligia ophiogramma,Double Lobed,Noctuidae,LC,13.0,16.0,32.3,12
Mesapamea secalis,Common Rustic,Noctuidae,LC,12.0,16.0,30.4,12
Mesapamea didyma,Lesser Common Rustic,Noctuidae,LC,11.0,16.0,28.5,9
Litoligia literosa,Rosy Minor,Noctuidae,NT,10.0,13.0,21.5,11
Mesoligia furuncula,Cloaked Minor,Noctuidae,LC,10.0,12.0,19.9,11
Oligia strigilis,Marbled Minor,Noctuidae,LC,11.0,13.0,23.2,11
Oligia latruncula,Tawny Marbled Minor,Noctuidae,LC,11.0,13.0,23.2,10
Oligia versicolor,Rufous Minor,Noctuidae,LC,11.0,12.0,21.5,10
Oligia fasciuncula,Middle-barred Minor,Noctuidae,LC,10.0,12.0,19.9,10
Sesamia nonagrioides,Maize Wainscot,Noctuidae,LC,13.0,19.0,38.4,0
Leucochlaena oditis,Beautiful Gothic,Noctuidae,LC,14.0,16.0,34.3,6
Tiliacea citrago,Orange Sallow,Noctuidae,LC,15.0,17.0,38.4,4
Tiliacea aurago,Barred Sallow,Noctuidae,LC,14.0,16.0,34.3,3
Xanthia togata,Pink-barred Sallow,Noctuidae,LC,13.0,16.0,32.3,4
Cirrhia icteritia,Sallow,Noctuidae,NT,14.0,17.0,36.3,4
Cirrhia gilvago,Dusky-lemon Sallow,Noctuidae,NT,15.0,18.0,40.6,3
Cirrhia ocellaris,Pale-lemon Sallow,Noctuidae,LC,18.0,19.0,49.6,3
Mesogona acetosellae,Pale Stigma,Noctuidae,LC,19.0,21.0,56.9,0
Agrochola lychnidis,Beaded Chestnut,Noctuidae,NT,15.0,18.0,40.6,4
Agrochola litura,Brown-spot Pinion,Noctuidae,LC,14.0,17.0,36.3,3
Agrochola helvola,Flounced Chestnut,Noctuidae,NT,16.0,18.0,42.7,3
Agrochola lota,Red-line Quaker,Noctuidae,LC,15.0,18.0,40.6,3
Agrochola macilenta,Yellow-line Quaker,Noctuidae,LC,14.0,16.0,34.3,3
Agrochola haematidea,Southern Chestnut,Noctuidae,LC,14.0,15.0,32.3,4
Agrochola circellaris,Brick,Noctuidae,LC,14.0,19.0,40.6,3
Omphaloscelis lunosa,Lunar Underwing,Noctuidae,LC,14.0,17.0,36.3,8
Conistra vaccinii,Chestnut,Noctuidae,LC,14.0,15.0,32.3,3
Conistra ligula,Dark Chestnut,Noctuidae,LC,13.0,15.0,30.4,3
Conistra rubiginosa,Black-spotted Chestnut,Noctuidae,LC,15.0,17.0,38.4,0
Conistra rubiginea,Dotted Chestnut,Noctuidae,LC,15.0,17.0,38.4,3
Conistra erythrocephala,Red-headed Chestnut,Noctuidae,RE,16.0,18.0,42.7,0
Jodia croceago,Orange Upperwing,Noctuidae,CR (PE),14.0,17.0,36.3,0
Lithophane semibrunnea,Tawny Pinion,Noctuidae,LC,16.0,20.0,47.3,3
Lithophane socia,Pale Pinion,Noctuidae,LC,17.0,20.0,49.6,3
Lithophane ornitopus,Grey Shoulder-knot,Noctuidae,LC,17.0,19.0,47.3,3
Lithophane furcifera,Conformist,Noctuidae,RE,17.0,20.0,49.6,0
Lithophane consocia,Softly's Shoulder-knot,Noctuidae,LC,18.0,20.0,52.0,0
Lithophane lamda,Nonconformist,Noctuidae,LC,17.0,20.0,49.6,0
Lithophane leautieri,Blair's Shoulder-knot,Noctuidae,LC,17.0,20.0,49.6,5
Xylena solidaginis,Golden-rod Brindle,Noctuidae,LC,18.0,21.0,54.4,4
Xylena exsoleta,Sword-grass,Noctuidae,RE,24.0,29.0,93.3,3
Xylena vetusta,Red Sword-grass,Noctuidae,LC,24.0,29.0,93.3,3
Eupsilia transversa,Satellite,Noctuidae,LC,17.0,20.0,49.6,4
Enargia paleacea,Angle-striped Sallow,Noctuidae,LC,17.0,20.0,49.6,3
Ipimorpha retusa,Double Kidney,Noctuidae,LC,13.0,15.0,30.4,2
Ipimorpha subtusa,Olive,Noctuidae,LC,14.0,16.0,34.3,2
Cosmia diffinis,White-spotted Pinion,Noctuidae,LC,14.0,16.0,34.3,3
Cosmia affinis,Lesser-spotted Pinion,Noctuidae,LC,12.0,16.0,30.4,3
Cosmia trapezina,Dun-bar,Noctuidae,LC,13.0,16.0,32.3,3
Cosmia pyralina,Lunar-spotted Pinion,Noctuidae,LC,13.0,16.0,32.3,3
Dicycla oo,Heart Moth,Noctuidae,NT,15.0,17.0,38.4,4
Atethmia centrago,Centre-barred Sallow,Noctuidae,LC,15.0,18.0,40.6,3
Brachylomia viminalis,Minor Shoulder-knot,Noctuidae,VU,13.0,15.0,30.4,4
Parastichtis suspecta,Suspected,Noctuidae,RE,14.0,16.0,34.3,3
Apterogenum ypsillon,Dingy Shears,Noctuidae,LC,15.0,19.0,42.7,4
Dryobota labecula,Oak Rustic,Noctuidae,LC,12.0,15.0,28.5,6
Griposia aprilina,Merveille du Jour,Noctuidae,LC,18.0,23.0,59.4,4
Dryobotodes eremita,Brindled Green,Noctuidae,LC,15.0,17.0,38.4,5
Dryobotodes roboris,Southern Brindled Green,Noctuidae,LC,12.0,14.0,26.7,0
Dichonioxa tenebrosa,Sombre Brocade,Noctuidae,LC,15.0,17.0,38.4,0
Antitype chi,Grey Chi,Noctuidae,NT,15.0,19.0,42.7,3
Trigonophora flammea,Flame Brocade,Noctuidae,LC,20.0,23.0,64.6,7
Aporophyla australis,Feathered Brindle,Noctuidae,VU,14.0,17.0,36.3,8
Aporophyla lutulenta,Deep-brown Dart,Noctuidae,LC,15.0,18.0,40.6,8
Aporophyla lueneburgensis,Northern Deep-brown Dart,Noctuidae,LC,15.0,17.0,38.4,7
Aporophyla nigra,Black Rustic,Noctuidae,LC,17.0,21.0,52.0,8
Dasypolia templi,Brindled Ochre,Noctuidae,NT,18.0,23.0,59.4,5
Polymixis lichenea,Feathered Ranunculus,Noctuidae,LC,15.0,18.0,40.6,8
Polymixis xanthomista,Black-banded,Noctuidae,VU,16.0,18.0,42.7,5
Polymixis flavicincta,Large Ranunculus,Noctuidae,LC,17.0,22.0,54.4,4
Mniotype adusta,Dark Brocade,Noctuidae,LC,18.0,21.0,54.4,4
Mniotype solieri,Bedrule Brocade,Noctuidae,LC,16.0,19.0,45.0,0
Mniotype satura,Beautiful Arches,Noctuidae,LC,19.0,23.0,62.0,0
Panolis flammea,Pine Beauty,Noctuidae,LC,15.0,16.0,36.3,3
Orthosia incerta,Clouded Drab,Noctuidae,LC,16.0,20.0,47.3,3
Orthosia miniosa,Blossom Underwing,Noctuidae,RE,15.0,17.0,38.4,3
Orthosia cerasi,Common Quaker,Noctuidae,LC,13.0,17.0,34.3,3
Orthosia cruda,Small Quaker,Noctuidae,LC,12.0,15.0,28.5,3
Orthosia populeti,Lead-coloured Drab,Noctuidae,VU,15.0,17.0,38.4,3
Orthosia gracilis,Powdered Quaker,Noctuidae,LC,15.0,19.0,42.7,3
Orthosia opima,Northern Drab,Noctuidae,VU,15.0,17.0,38.4,3
Orthosia gothica,Hebrew Character,Noctuidae,LC,15.0,17.0,38.4,4
Anorthoa munda,Twin-spotted Quaker,Noctuidae,LC,17.0,20.0,49.6,3
Egira conspicillaris,Silver Cloud,Noctuidae,LC,16.0,18.0,42.7,3
Tholera cespitis,Hedge Rustic,Noctuidae,VU,15.0,19.0,42.7,5
Tholera decimalis,Feathered Gothic,Noctuidae,CR,16.0,22.0,52.0,7
Cerapteryx graminis,Antler Moth,Noctuidae,LC,12.0,17.0,32.3,7
Anarta trifolii,Nutmeg,Noctuidae,LC,14.0,18.0,38.4,5
Anarta melanopa,Broad-bordered White Underwing,Noctuidae,LC,11.0,13.0,23.2,2
Anarta myrtilli,Beautiful Yellow Underwing,Noctuidae,LC,10.0,12.0,19.9,4
Coranarta cordigera,Small Dark Yellow Underwing,Noctuidae,LC,10.0,12.0,19.9,3
Polia bombycina,Pale Shining Brown,Noctuidae,RE,19.0,23.0,62.0,12
Polia hepatica,Silvery Arches,Noctuidae,LC,21.0,25.0,72.7,11
Polia nebulosa,Grey Arches,Noctuidae,LC,21.0,26.0,75.5,10
Pachetra sagittigera,Feathered Ear,Noctuidae,RE,17.0,20.0,49.6,0
Lacanobia w-latinum,Light Brocade,Noctuidae,LC,18.0,21.0,54.4,3
Lacanobia thalassina,Pale-shouldered Brocade,Noctuidae,LC,16.0,20.0,47.3,4
Lacanobia contigua,Beautiful Brocade,Noctuidae,LC,16.0,19.0,45.0,3
Lacanobia suasa,Dog's Tooth,Noctuidae,NT,15.0,20.0,45.0,6
Lacanobia oleracea,Bright-line Brown-eye,Noctuidae,LC,14.0,19.0,40.6,5
Lacanobia splendens,Splendid Brocade,Noctuidae,LC,16.0,18.0,42.7,0
Lacanobia blenna,Stranger,Noctuidae,LC,15.0,17.0,38.4,0
Melanchra persicariae,Dot Moth,Noctuidae,LC,16.0,21.0,49.6,4
Ceramica pisi,Broom Moth,Noctuidae,VU,16.0,20.0,47.3,4
Papestra biren,Glaucous Shears,Noctuidae,LC,15.0,18.0,40.6,3
Hada plebeja,Shears,Noctuidae,LC,14.0,17.0,36.3,2
Mamestra brassicae,Cabbage Moth,Noctuidae,LC,14.0,22.0,47.3,13
Sideridis turbida,White Colon,Noctuidae,LC,17.0,20.0,49.6,2
Sideridis rivularis,Campion,Noctuidae,LC,14.0,16.0,34.3,5
Sideridis reticulata,Bordered Gothic,Noctuidae,LC,17.0,19.0,47.3,4
Conisania andalusica,Barrett's Marbled Coronet,Noctuidae,LC,15.0,19.0,42.7,3
Hecatera bicolorata,Broad-barred White,Noctuidae,NT,13.0,15.0,30.4,4
Hecatera dysodea,Small Ranunculus,Noctuidae,LC,14.0,15.0,32.3,3
Hadena bicruris,Lychnis,Noctuidae,LC,14.0,17.0,36.3,4
Hadena compta,Varied Coronet,Noctuidae,LC,13.0,15.0,30.4,3
Hadena confusa,Marbled Coronet,Noctuidae,LC,14.0,16.0,34.3,2
Hadena albimacula,White Spot,Noctuidae,NT,15.0,17.0,38.4,3
Hadena caesia,Grey,Noctuidae,EN,15.0,17.0,38.4,5
Hadena perplexa,Tawny Shears / Pod Lover,Noctuidae,LC,13.0,15.0,30.4,5
Hadena irregularis,Viper's Bugloss,Noctuidae,RE,14.0,15.0,32.3,0
Mythimna turca,Double Line,Noctuidae,LC,18.0,23.0,59.4,10
Mythimna pudorina,Striped Wainscot,Noctuidae,LC,16.0,19.0,45.0,10
Mythimna conigera,Brown-line Bright-eye,Noctuidae,LC,15.0,17.0,38.4,11
Mythimna pallens,Common Wainscot,Noctuidae,LC,14.0,17.0,36.3,13
Mythimna favicolor,Mathew's Wainscot,Noctuidae,LC,16.0,18.0,42.7,10
Mythimna impura,Smoky Wainscot,Noctuidae,LC,14.0,18.0,38.4,12
Mythimna straminea,Southern Wainscot,Noctuidae,LC,14.0,18.0,38.4,12
Mythimna vitellina,Delicate,Noctuidae,NE,12.0,14.0,26.7,1
Mythimna unipuncta,White-speck,Noctuidae,LC,18.0,21.0,54.4,0
Mythimna albipuncta,White-point,Noctuidae,LC,14.0,17.0,36.3,1
Mythimna ferrago,Clay,Noctuidae,LC,15.0,18.0,40.6,11
Mythimna litoralis,Shore Wainscot,Noctuidae,LC,15.0,18.0,40.6,11
Mythimna l-album,L-album Wainscot,Noctuidae,LC,15.0,16.0,36.3,11
Leucania comma,Shoulder-striped Wainscot,Noctuidae,LC,16.0,19.0,45.0,9
Leucania obsoleta,Obscure Wainscot,Noctuidae,LC,15.0,18.0,40.6,10
Leucania putrescens,Devonshire Wainscot,Noctuidae,LC,14.0,17.0,36.3,10
Leucania loreyi,Cosmopolitan,Noctuidae,NE,16.0,17.0,40.6,1
Senta flammea,Flame Wainscot,Noctuidae,LC,14.0,18.0,38.4,5
Eriopygodes imbecilla,Silurian,Noctuidae,NT,10.0,13.0,21.5,10
Peridroma saucia,Pearly Underwing,Noctuidae,NE,19.0,23.0,62.0,1
Actebia praecox,Portland Moth,Noctuidae,CR,17.0,21.0,52.0,10
Actebia fennica,Eversmann's Rustic,Noctuidae,LC,16.0,18.0,42.7,0
Dichagyris flammatra,Black Collar,Noctuidae,LC,19.0,21.0,56.9,0
Euxoa cursoria,Coast Dart,Noctuidae,NT,14.0,18.0,38.4,5
Euxoa obelisca,Square-spot Dart,Noctuidae,LC,14.0,18.0,38.4,6
Euxoa tritici,White-line Dart,Noctuidae,VU,13.0,17.0,34.3,6
Euxoa nigricans,Garden Dart,Noctuidae,VU,15.0,18.0,40.6,5
Agrotis bigramma,Great Dart,Noctuidae,NE,16.0,20.0,47.3,1
Agrotis cinerea,Light Feathered Rustic,Noctuidae,CR,13.0,17.0,34.3,9
Agrotis exclamationis,Heart and Dart,Noctuidae,LC,15.0,19.0,42.7,9
Agrotis graslini,Woods's Dart,Noctuidae,LC,15.0,20.0,45.0,0
Agrotis segetum,Turnip Moth,Noctuidae,LC,16.0,21.0,49.6,10
Agrotis clavis,Heart and Club,Noctuidae,NT,14.0,18.0,38.4,10
Agrotis herzogi,Spalding's Dart,Noctuidae,LC,15.0,17.0,38.4,0
Agrotis vestigialis,Archer's Dart,Noctuidae,LC,14.0,18.0,38.4,9
Agrotis ripae,Sand Dart,Noctuidae,LC,14.0,18.0,38.4,11
Agrotis trux,Crescent Dart,Noctuidae,LC,16.0,19.0,45.0,7
Agrotis puta,Shuttle-shaped Dart,Noctuidae,LC,12.0,16.0,30.4,13
Agrotis catalaunensis,Grouville Dart,Noctuidae,LC,15.0,16.0,36.3,0
Agrotis ipsilon,Dark Sword-grass,Noctuidae,NE,15.0,25.0,56.9,0
Axylia putris,Flame,Noctuidae,LC,14.0,16.0,34.3,4
Ochropleura plecta,Flame Shoulder,Noctuidae,LC,12.0,15.0,28.5,5
Ochropleura leucogaster,Radford's Flame Shoulder,Noctuidae,LC,13.0,16.0,32.3,0
Diarsia dahlii,Barred Chestnut,Noctuidae,LC,15.0,18.0,40.6,6
Diarsia brunnea,Purple Clay,Noctuidae,LC,16.0,20.0,47.3,11
Diarsia mendica,Ingrailed Clay,Noctuidae,LC,13.0,17.0,34.3,11
Diarsia rubi,Small Square-spot,Noctuidae,LC,12.0,16.0,30.4,12
Diarsia florida,Fen Square-spot,Noctuidae,DD,15.0,17.0,38.4,0
Cerastis rubricosa,Red Chestnut,Noctuidae,LC,14.0,17.0,36.3,4
Cerastis leucographa,White-marked,Noctuidae,LC,14.0,16.0,34.3,2
Lycophotia porphyrea,True Lover's Knot,Noctuidae,VU,12.0,15.0,28.5,11
Rhyacia simulans,Dotted Rustic,Noctuidae,VU,17.0,21.0,52.0,8
Rhyacia lucipeta,Southern Rustic,Noctuidae,LC,23.0,29.0,90.2,0
Standfussiana lucernea,Northern Rustic,Noctuidae,LC,17.0,21.0,52.0,8
Noctua pronuba,Large Yellow Underwing,Noctuidae,LC,21.0,26.0,75.5,10
Noctua fimbriata,Broad-bordered Yellow Underwing,Noctuidae,LC,22.0,27.0,81.3,8
Noctua orbona,Lunar Yellow Underwing,Noctuidae,LC,17.0,20.0,49.6,8
Noctua comes,Lesser Yellow Underwing,Noctuidae,LC,16.0,21.0,49.6,11
Noctua interjecta,Least Yellow Underwing,Noctuidae,LC,14.0,17.0,36.3,10
Noctua janthina,Langmaid's Yellow Underwing,Noctuidae,LC,16.0,18.0,42.7,0
Noctua janthe,Lesser Broad-bordered Yellow Underwing,Noctuidae,LC,16.0,20.0,47.3,9
Spaelotis ravida,Stout Dart,Noctuidae,CR,18.0,22.0,56.9,7
Eurois occulta,Great Brocade,Noctuidae,LC,24.0,27.0,87.2,10
Graphiphora augur,Double Dart,Noctuidae,NT,18.0,21.0,54.4,11
Anaplectoides prasina,Green Arches,Noctuidae,LC,20.0,25.0,70.0,10
Xestia baja,Dotted Clay,Noctuidae,LC,17.0,21.0,52.0,11
Xestia stigmatica,Square-spotted Clay,Noctuidae,LC,17.0,20.0,49.6,8
Xestia castanea,Neglected Rustic,Noctuidae,LC,16.0,18.0,42.7,9
Xestia agathina,Heath Rustic,Noctuidae,LC,14.0,16.0,34.3,10
Xestia xanthographa,Square-spot Rustic,Noctuidae,LC,14.0,17.0,36.3,9
Xestia sexstrigata,Six-striped Rustic,Noctuidae,LC,15.0,17.0,38.4,8
Xestia c-nigrum,Setaceous Hebrew Character,Noctuidae,LC,14.0,19.0,40.6,12
Xestia ditrapezium,Triple-spotted Clay,Noctuidae,RE,17.0,19.0,47.3,11
Xestia triangulum,Double Square-spot,Noctuidae,LC,17.0,19.0,47.3,10
Xestia ashworthii,Ashworth's Rustic,Noctuidae,LC,16.0,20.0,47.3,12
Xestia alpicola,Northern Dart,Noctuidae,LC,15.0,17.0,38.4,13
Coenophila subrosea,Rosy Marsh Moth,Noctuidae,NT,17.0,22.0,54.4,11
Eugnorisma glareosa,Autumnal Rustic,Noctuidae,NT,15.0,16.0,36.3,8
Eugnorisma depuncta,Plain Clay,Noctuidae,LC,16.0,20.0,47.3,10
Protolampra sobrina,Cousin German,Noctuidae,LC,14.0,17.0,36.3,12
Naenia typica,Gothic,Noctuidae,LC,17.0,22.0,54.4,10
Meganola strigula,Small Black Arches,Nolidae,LC,9.0,11.0,7.5,12
Meganola albula,Kent Black Arches,Nolidae,LC,10.0,11.0,8.8,12
Nola cucullatella,Short-cloaked Moth,Nolidae,LC,8.0,10.0,5.5,11
Nola confusalis,Least Black Arches,Nolidae,LC,9.0,11.0,7.5,3
Nola aerugula,Scarce Black Arches,Nolidae,LC,8.0,9.0,4.6,1
Nola chlamitulalis,Jersey Black Arches,Nolidae,LC,7.0,10.0,4.6,0
Bena bicolorana,Scarce Silver-lines,Nolidae,LC,19.0,23.0,72.9,11
Pseudoips prasinana,Green Silver-lines,Nolidae,LC,16.0,19.0,41.7,3
Nycteola revayana,Oak Nycteoline,Nolidae,LC,11.0,13.0,13.2,3
Nycteola siculana,Banded Nycteoline,Nolidae,LC,,,,0
Nycteola asiatica,Eastern Nycteoline,Nolidae,LC,11.0,13.0,13.2,0
Earias clorana,Cream-bordered Green Pea,Nolidae,RE,10.0,12.0,10.1,3
Earias insulana,Egyptian Bollworm,Nolidae,LC,10.0,12.0,10.1,0
